# Weather station Athens (airport), Greece, METAR=LGAV,selection from 07.06.2017 till 30.06.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/metar.php?metar=LGAV&lang=en
#
"Local time in Athens (airport)";"T";"P0";"P";"U";"DD";"Ff";"ff10";"WW";"W'W'";"c";"VV";"Td";
"30.06.2017 23:50";"26.0";"752.1";"759.0";"51";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"30.06.2017 23:20";"27.0";"752.1";"759.0";"51";"variable wind direction";"2";"";"";"";"No Significant Clouds";"10.0 and more";"16.0";
"30.06.2017 22:50";"29.0";"752.2";"759.0";"37";"variable wind direction";"2";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"30.06.2017 22:20";"32.0";"752.2";"759.0";"29";"Wind blowing from the west";"2";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"30.06.2017 21:50";"30.0";"752.2";"759.0";"33";"Wind blowing from the west";"2";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"30.06.2017 21:20";"31.0";"751.4";"758.2";"33";"Calm, no wind";"0";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"30.06.2017 20:50";"32.0";"751.4";"758.2";"29";"Wind blowing from the north";"1";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"30.06.2017 19:20";"36.0";"751.5";"758.2";"20";"variable wind direction";"2";"";"";"";"No Significant Clouds";"10.0 and more";"10.0";
"30.06.2017 18:50";"37.0";"751.5";"758.2";"19";"Wind blowing from the east";"3";"";"";"";"No Significant Clouds";"10.0 and more";"10.0";
"30.06.2017 18:20";"37.0";"751.5";"758.2";"21";"Wind blowing from the east";"4";"";"";"";"No Significant Clouds";"10.0 and more";"11.0";
"30.06.2017 17:50";"38.0";"751.6";"758.2";"22";"Wind blowing from the east-northeast";"5";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"30.06.2017 17:20";"39.0";"751.6";"758.2";"21";"Wind blowing from the east";"4";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"30.06.2017 16:50";"39.0";"751.6";"758.2";"21";"Wind blowing from the east";"4";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"30.06.2017 16:20";"41.0";"751.6";"758.2";"14";"Wind blowing from the east-southeast";"3";"";"";"";"No Significant Clouds";"10.0 and more";"9.0";
"30.06.2017 15:50";"41.0";"751.6";"758.2";"14";"Wind blowing from the east";"5";"";"";"";"No Significant Clouds";"10.0 and more";"9.0";
"30.06.2017 15:20";"42.0";"751.7";"758.2";"15";"Wind blowing from the east";"4";"";"";"";"No Significant Clouds";"10.0 and more";"10.0";
"30.06.2017 14:50";"41.0";"751.6";"758.2";"17";"Wind blowing from the east-southeast";"3";"";"";"";"No Significant Clouds";"10.0 and more";"11.0";
"30.06.2017 14:20";"40.0";"751.6";"758.2";"17";"Wind blowing from the east";"5";"";"";"";"No Significant Clouds";"10.0 and more";"11.0";
"30.06.2017 13:50";"40.0";"751.6";"758.2";"19";"Wind blowing from the east-southeast";"4";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"30.06.2017 13:20";"41.0";"752.4";"759.0";"18";"variable wind direction";"2";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"30.06.2017 12:50";"40.0";"752.4";"759.0";"16";"variable wind direction";"2";"";"";"";"No Significant Clouds";"10.0 and more";"10.0";
"30.06.2017 12:20";"39.0";"752.4";"759.0";"18";"Wind blowing from the east";"2";"";"";"";"No Significant Clouds";"10.0 and more";"11.0";
"30.06.2017 11:50";"37.0";"752.3";"759.0";"24";"Wind blowing from the east";"4";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"30.06.2017 11:20";"36.0";"753.0";"759.7";"27";"Wind blowing from the east-northeast";"4";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"30.06.2017 10:50";"39.0";"752.4";"759.0";"21";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"30.06.2017 10:20";"37.0";"752.3";"759.0";"21";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"11.0";
"30.06.2017 09:50";"35.0";"753.0";"759.7";"25";"variable wind direction";"2";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"30.06.2017 09:20";"33.0";"752.9";"759.7";"30";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"30.06.2017 08:50";"33.0";"752.9";"759.7";"30";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"30.06.2017 08:20";"31.0";"752.2";"759.0";"35";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"30.06.2017 07:50";"28.0";"752.1";"759.0";"45";"Calm, no wind";"0";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"30.06.2017 07:20";"26.0";"752.1";"759.0";"54";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"16.0";
